Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2025-11-28 13:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-11-28 13:52:29,Flag,YELLOW IN TRACK SECTOR 7,,YELLOW,Sector,7.0,,
2025-11-28 13:52:30,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,,
2025-11-28 14:23:46,Flag,DOUBLE YELLOW IN TRACK SECTOR 6,,DOUBLE YELLOW,Sector,6.0,,
2025-11-28 14:23:48,Flag,YELLOW IN TRACK SECTOR 5,,YELLOW,Sector,5.0,,
2025-11-28 14:23:51,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
2025-11-28 14:23:52,Flag,DOUBLE YELLOW IN TRACK SECTOR 5,,DOUBLE YELLOW,Sector,5.0,,
2025-11-28 14:23:53,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,
2025-11-28 14:30:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2025-11-28 14:30:10,Other,FIRST CAR TO TAKE THE FLAG - CAR 31 (OCO),,,,,,
