Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2025-04-12 16:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-04-12 16:03:38,Other,CAR 18 (STR) TIME 1:33.575 DELETED - TRACK LIMITS AT TURN 13 LAP 3 19:03:17,,,,,,
2025-04-12 16:07:21,Other,CAR 1 (VER) LAP DELETED - TRACK LIMITS AT TURN 15 LAP 3 19:06:32,,,,,,
2025-04-12 16:07:46,Other,CAR 22 (TSU) TIME 1:32.096 DELETED - TRACK LIMITS AT TURN 15 LAP 3 19:06:44,,,,,,
2025-04-12 16:08:50,Other,CAR 22 (TSU) LAP DELETED - TRACK LIMITS AT TURN 15 (NEXT LAP PIT),,,,,,
2025-04-12 16:17:16,Other,CAR 1 (VER) TIME 10:27.997 DELETED - TRACK LIMITS AT TURN 15 (NEXT LAP),,,,,,
2025-04-12 16:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2025-04-12 16:18:06,Other,FIRST CAR TO TAKE THE FLAG - CAR 30 (LAW),,,,,,
2025-04-12 16:20:54,Flag,DOUBLE YELLOW IN TRACK SECTOR 4,,DOUBLE YELLOW,Sector,4.0,,
2025-04-12 16:20:55,Other,DRS DISABLED IN ZONE 1,,,,,,
2025-04-12 16:21:48,Other,"FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 18 (STR), 81 (PIA), 5 (BOR) AND 6 (HAD) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2025-04-12 16:22:02,Other,"FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 18 (STR), 81 (PIA), 5 (BOR) AND 6 (HAD) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2025-04-12 16:22:37,Other,DRS ENABLED IN ZONE 1,,,,,,
2025-04-12 16:22:37,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,,
2025-04-12 16:25:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-04-12 16:28:45,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,,DOUBLE YELLOW,Sector,3.0,,
2025-04-12 16:28:46,Other,DRS DISABLED IN ZONE 1,,,,,,
2025-04-12 16:28:46,Flag,YELLOW IN TRACK SECTOR 3,,YELLOW,Sector,3.0,,
2025-04-12 16:28:47,Other,DRS ENABLED IN ZONE 1,,,,,,
2025-04-12 16:28:47,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,
2025-04-12 16:28:49,Other,DRS DISABLED IN ZONE 1,,,,,,
2025-04-12 16:29:00,Flag,RED FLAG,,RED,Track,,,
2025-04-12 16:29:00,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,
2025-04-12 16:34:19,Other,ESTIMATED TIME OF Q2 RESUMPTION - 19:37,,,,,,
2025-04-12 16:35:12,Flag,TRACK CLEAR,,CLEAR,Track,,,
2025-04-12 16:35:14,Other,Q2 WILL RESUME AT 19:37,,,,,,
2025-04-12 16:36:00,Drs,DRS ENABLED,ENABLED,,,,,
2025-04-12 16:37:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-04-12 16:39:34,Other,PIT LANE INCIDENT INVOLVING CARS 12 (ANT) AND 63 (RUS) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – LEAVING GARAGE BEFORE RESUMPTION TIME ANNOUNCED,,,,,,
2025-04-12 16:43:01,Other,FIA STEWARDS: PIT LANE INCIDENT INVOLVING CARS 12 (ANT) AND 63 (RUS) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – LEAVING GARAGE BEFORE RESUMPTION TIME ANNOUNCED,,,,,,
2025-04-12 16:45:17,Other,CAR 6 (HAD) LAP DELETED - TRACK LIMITS AT TURN 10 LAP 10 19:40:34,,,,,,
2025-04-12 16:47:08,Other,LAP TIME UNDER INVESTIGATION - TRACK LIMITS - CAR 27 (HUL) - 1:31.998,,,,,,
2025-04-12 16:48:01,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2025-04-12 16:48:16,Other,FIRST CAR TO TAKE THE FLAG - CAR 55 (SAI),,,,,,
2025-04-12 16:50:27,Flag,DOUBLE YELLOW IN TRACK SECTOR 4,,DOUBLE YELLOW,Sector,4.0,,
2025-04-12 16:50:28,Other,DRS DISABLED IN ZONE 1,,,,,,
2025-04-12 16:52:05,Other,DRS ENABLED IN ZONE 1,,,,,,
2025-04-12 16:52:05,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,,
2025-04-12 16:52:27,Other,Q3 WILL START AT 19:57,,,,,,
2025-04-12 16:57:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-04-12 17:03:40,Other,CAR 27 (HUL) TIME 1:31.998 DELETED - TRACK LIMITS AT TURN 11 LAP 9 19:18:53,,,,,,
2025-04-12 17:03:52,Other,CAR 12 (ANT) TIME 1:31.494 DELETED - TRACK LIMITS AT TURN 11 LAP 17 20:00:36,,,,,,
2025-04-12 17:04:37,Other,CAR 44 (HAM) TIME 1:31.410 DELETED - TRACK LIMITS AT TURN 13 LAP 15 20:01:30,,,,,,
2025-04-12 17:09:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2025-04-12 17:09:15,Other,FIRST CAR TO TAKE THE FLAG - CAR 63 (RUS),,,,,,
2025-04-12 17:13:19,Other,"FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 18 (STR), 81 (PIA), 5 (BOR) AND 6 (HAD) NO FURTHER ACTION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2025-04-12 17:13:29,Flag,DOUBLE YELLOW IN TRACK SECTOR 4,,DOUBLE YELLOW,Sector,4.0,,
2025-04-12 17:13:30,Other,DRS DISABLED IN ZONE 1,,,,,,
2025-04-12 17:13:59,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,,DOUBLE YELLOW,Sector,2.0,,
2025-04-12 17:14:06,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,,DOUBLE YELLOW,Sector,3.0,,
2025-04-12 17:14:11,Flag,DOUBLE YELLOW IN TRACK SECTOR 8,,DOUBLE YELLOW,Sector,8.0,,
2025-04-12 17:14:16,Flag,DOUBLE YELLOW IN TRACK SECTOR 6,,DOUBLE YELLOW,Sector,6.0,,
2025-04-12 17:14:29,Flag,YELLOW IN TRACK SECTOR 7,,YELLOW,Sector,7.0,,
2025-04-12 17:14:41,Flag,YELLOW IN TRACK SECTOR 5,,YELLOW,Sector,5.0,,
2025-04-12 17:14:51,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
2025-04-12 17:15:03,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,
2025-04-12 17:15:08,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,
2025-04-12 17:15:25,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,,
2025-04-12 17:15:25,Other,DRS ENABLED IN ZONE 1,,,,,,
2025-04-12 17:15:27,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,
2025-04-12 17:15:33,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,
2025-04-12 17:15:39,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,,
